/mnt/batch/tasks/shared/LS_root/mounts/nfs/train/Actinopterygii-Abudefduf saxatilis/5e413babc41e7d6f367c69f7bbf53500.jpg	0
/mnt/batch/tasks/shared/LS_root/mounts/nfs/train/Actinopterygii-Abudefduf saxatilis/71e5822fffa407469fd4be2c68c930e1.jpg	0
/mnt/batch/tasks/shared/LS_root/mounts/nfs/train/Actinopterygii-Abudefduf saxatilis/8d7e637bb69ff70cd3a85ee40cec80b6.jpg	0
/mnt/batch/tasks/shared/LS_root/mounts/nfs/train/Actinopterygii-Abudefduf saxatilis/2349268914506da47ab86e5b8e14e417.jpg	0
/mnt/batch/tasks/shared/LS_root/mounts/nfs/train/Actinopterygii-Abudefduf saxatilis/2690534c8920a6c7a4284d0f6802682b.jpg	0
/mnt/batch/tasks/shared/LS_root/mounts/nfs/train/Actinopterygii-Abudefduf saxatilis/9f27abb9e2d98b0de0ce49b0966cc955.jpg	0
/mnt/batch/tasks/shared/LS_root/mounts/nfs/train/Actinopterygii-Abudefduf saxatilis/2ab99d65fd640911aef01e3e9d5e9d2b.jpg	0
/mnt/batch/tasks/shared/LS_root/mounts/nfs/train/Actinopterygii-Abudefduf saxatilis/a4d219cddbed6756caddacdaa12161e0.jpg	0
/mnt/batch/tasks/shared/LS_root/mounts/nfs/train/Actinopterygii-Abudefduf saxatilis/86db13465146fcf62f17f4071aac5bf2.jpg	0
/mnt/batch/tasks/shared/LS_root/mounts/nfs/train/Actinopterygii-Abudefduf saxatilis/c3b1b32473354a7412d5957c2970a6bb.jpg	0
/mnt/batch/tasks/shared/LS_root/mounts/nfs/train/Actinopterygii-Abudefduf saxatilis/4c61bbd8dc921b05839c249288023ff5.jpg	0
/mnt/batch/tasks/shared/LS_root/mounts/nfs/train/Actinopterygii-Abudefduf saxatilis/206dae61fd527c7d47bf545eb1bddb36.jpg	0
/mnt/batch/tasks/shared/LS_root/mounts/nfs/train/Actinopterygii-Abudefduf saxatilis/8131c35e9a5e32bb3a6d8fa43c72ca9b.jpg	0
